"","x"
"path:rno04950 Maturity onset diabetes of the young - Rattus norvegicus (rat)",6
"path:rno05030 Amyotrophic lateral sclerosis (ALS) - Rattus norvegicus (rat)",6
"path:rno05340 Primary immunodeficiency - Rattus norvegicus (rat)",6
"path:rno00591 Linoleic acid metabolism - Rattus norvegicus (rat)",7
"path:rno04210 Apoptosis - Rattus norvegicus (rat)",7
"path:rno04540 Gap junction - Rattus norvegicus (rat)",7
"path:rno04740 Olfactory transduction - Rattus norvegicus (rat)",7
"path:rno01430 Cell Communication - Rattus norvegicus (rat)",9
"path:rno03320 PPAR signaling pathway - Rattus norvegicus (rat)",9
"path:rno04140 Regulation of autophagy - Rattus norvegicus (rat)",9
"path:rno04530 Tight junction - Rattus norvegicus (rat)",9
"path:rno00980 Metabolism of xenobiotics by cytochrome P450 - Rattus norvegicus (rat)",10
"path:rno04720 Long-term potentiation - Rattus norvegicus (rat)",10
"path:rno04810 Regulation of actin cytoskeleton - Rattus norvegicus (rat)",10
"path:rno00830 Retinol metabolism - Rattus norvegicus (rat)",11
"path:rno00590 Arachidonic acid metabolism - Rattus norvegicus (rat)",12
"path:rno04730 Long-term depression - Rattus norvegicus (rat)",12
"path:rno04610 Complement and coagulation cascades - Rattus norvegicus (rat)",13
"path:rno04620 Toll-like receptor signaling pathway - Rattus norvegicus (rat)",14
"path:rno04010 MAPK signaling pathway - Rattus norvegicus (rat)",15
"path:rno04510 Focal adhesion - Rattus norvegicus (rat)",15
"path:rno05310 Asthma - Rattus norvegicus (rat)",15
"path:rno00982 Drug metabolism - cytochrome P450 - Rattus norvegicus (rat)",16
"path:rno05219 Bladder cancer - Rattus norvegicus (rat)",16
"path:rno01510 Neurodegenerative Diseases - Rattus norvegicus (rat)",17
"path:rno04350 TGF-beta signaling pathway - Rattus norvegicus (rat)",18
"path:rno04612 Antigen processing and presentation - Rattus norvegicus (rat)",18
"path:rno05320 Autoimmune thyroid disease - Rattus norvegicus (rat)",18
"path:rno04650 Natural killer cell mediated cytotoxicity - Rattus norvegicus (rat)",19
"path:rno04920 Adipocytokine signaling pathway - Rattus norvegicus (rat)",19
"path:rno04660 T cell receptor signaling pathway - Rattus norvegicus (rat)",20
"path:rno04020 Calcium signaling pathway - Rattus norvegicus (rat)",25
"path:rno04514 Cell adhesion molecules (CAMs) - Rattus norvegicus (rat)",25
"path:rno04670 Leukocyte transendothelial migration - Rattus norvegicus (rat)",26
"path:rno04940 Type I diabetes mellitus - Rattus norvegicus (rat)",26
"path:rno05060 Prion disease - Rattus norvegicus (rat)",27
"path:rno04640 Hematopoietic cell lineage - Rattus norvegicus (rat)",28
"path:rno05330 Allograft rejection - Rattus norvegicus (rat)",28
"path:rno05322 Systemic lupus erythematosus - Rattus norvegicus (rat)",29
"path:rno05332 Graft-versus-host disease - Rattus norvegicus (rat)",34
"path:rno04630 Jak-STAT signaling pathway - Rattus norvegicus (rat)",37
"path:rno04060 Cytokine-cytokine receptor interaction - Rattus norvegicus (rat)",45
"path:rno04080 Neuroactive ligand-receptor interaction - Rattus norvegicus (rat)",58
